division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner
welterweight,0,Decision - Split,3,300,3,Justin Brown,Max Griffin,20,12,0,180.34,77.11,193.04,Orthodox,1985-11-29,3.76,47,3.7,58,1.28,40,70,0.3,Chris Curtis,32,12,0,177.8,77.11,190.5,Orthodox,1987-07-15,5.98,50,6.19,54,0,0,82,0,Chris Curtis
lightweight,0,KO/TKO,2,248,3,Justin Brown,Mitch Ramirez,8,3,0,180.34,70.31,180.34,Orthodox,1992-11-03,3.51,44,3.98,37,0.59,33,25,0,Mike Davis,12,3,0,182.88,70.31,182.88,Orthodox,1992-10-07,4.73,53,5.23,54,2.4,44,60,0.8,Mike Davis
welterweight,0,Submission,1,69,3,Jimmy Neely,Jake Matthews,22,7,0,180.34,77.11,185.42,Orthodox,1994-08-19,3.44,43,2.63,60,1.51,42,67,0.6,Chidi Njokuani,25,11,0,190.5,77.11,203.2,Orthodox,1988-12-31,4.72,62,2.64,57,0,0,73,0.2,Jake Matthews
women's flyweight,0,Decision - Unanimous,3,300,3,Blake Grice,Lauren Murphy,16,7,0,165.1,56.7,170.18,Orthodox,1983-07-27,3.94,38,5.19,56,1.09,24,67,0.2,Eduarda Moura,12,1,0,167.64,56.7,170.18,Orthodox,1994-02-28,3.04,37,2.47,61,3.73,37,80,0.3,Eduarda Moura
women's strawweight,0,KO/TKO,3,156,3,Jimmy Neely,Fatima Kline,8,1,0,167.64,52.16,170.18,Orthodox,2000-07-12,3.94,49,2.29,59,1.21,60,50,0,Melissa Martinez,8,2,0,157.48,52.16,167.64,Southpaw,1997-08-18,3.78,47,5.21,53,0.35,50,50,0,Fatima Kline
heavyweight,0,Submission,1,54,3,Eric McMahon,Kennedy Nzechukwu,14,6,0,195.58,107.05,210.82,Southpaw,1992-06-13,5.33,46,4.89,51,0.55,45,80,0.2,Valter Walker,14,1,0,198.12,120.2,198.12,Orthodox,1997-12-14,1.9,49,2.89,42,5.43,66,0,2,Valter Walker
welterweight,1,Decision - Unanimous,5,300,5,Jason Herzog,Belal Muhammad,24,4,0,180.34,77.11,182.88,Orthodox,1988-07-09,4.46,43,3.78,55,2.24,38,90,0.1,Jack Della Maddalena,18,2,0,180.34,77.11,185.42,Switch,1996-09-10,6.84,52,4.53,64,0.16,11,69,0.2,Jack Della Maddalena
women's flyweight,0,Decision - Unanimous,3,300,3,Erick Philippeaux,Alexa Grasso,16,5,1,165.1,56.7,167.64,Orthodox,1993-08-09,4.11,41,3.73,58,0.41,35,54,0.6,Natalia Silva,19,5,1,162.56,56.7,165.1,Southpaw,1997-02-03,5.04,46,2.46,65,0.34,25,92,0,Natalia Silva
lightweight,0,Submission,2,155,3,Luc Lefebvre,Benoit Saint Denis,14,3,0,180.34,70.31,185.42,Southpaw,1995-12-18,5.39,55,4.61,41,4.19,39,70,1.5,Kyle Prepolec,18,9,0,177.8,70.31,177.8,Southpaw,1989-08-30,2.87,35,5.19,49,0,0,40,0,Benoit Saint Denis
women's flyweight,1,Decision - Unanimous,5,300,5,Marc Goddard,Valentina Shevchenko,25,4,1,165.1,56.7,167.64,Southpaw,1988-03-07,3.14,52,2.06,63,2.62,60,75,0.3,Manon Fiorot,12,2,0,170.18,56.7,165.1,Orthodox,1990-02-17,5.58,41,3.59,66,1.06,29,87,0,Valentina Shevchenko
featherweight,0,Decision - Unanimous,3,300,3,Dan Miragliotta,Jose Aldo,32,10,0,170.18,61.23,177.8,Orthodox,1986-09-09,3.65,46,3.81,60,0.47,51,92,0.1,Aiemann Zahabi,13,2,0,172.72,61.23,172.72,Orthodox,1987-11-19,4.42,46,4.13,69,0.14,14,83,0,Aiemann Zahabi
women's flyweight,0,Submission,1,160,3,Jason Herzog,Jessica Andrade,26,14,0,154.94,52.16,157.48,Orthodox,1991-09-25,6.39,50,5.49,54,2.21,54,71,0.3,Jasmine Jasudavicius,14,3,0,170.18,56.7,172.72,Orthodox,1989-03-01,3.71,45,3.63,51,2.61,44,75,0.6,Jasmine Jasudavicius
middleweight,0,KO/TKO,1,87,3,Luc Lefebvre,Marc-Andre Barriault,17,9,0,185.42,83.91,187.96,Orthodox,1990-02-18,6.02,47,5.57,52,0.21,25,67,0.1,Bruno Silva,23,13,0,182.88,83.91,187.96,Orthodox,1989-07-13,3.86,48,5.35,41,0.77,22,74,0,Marc-Andre Barriault
welterweight,0,KO/TKO,2,26,3,Marc Goddard,Mike Malott,12,2,1,185.42,77.11,185.42,Orthodox,1991-11-07,4.09,47,2.96,54,2.08,56,16,0.7,Charles Radtke,10,5,0,175.26,77.11,182.88,Orthodox,1990-07-09,3.11,49,3.66,52,0.49,12,100,0,Mike Malott
light heavyweight,0,Decision - Split,3,300,3,Dan Miragliotta,Modestas Bukauskas,18,6,0,190.5,92.99,198.12,Switch,1994-02-10,3.26,42,4.07,51,0.31,66,77,0.2,Ion Cutelaba,19,11,1,185.42,92.99,190.5,Southpaw,1993-12-14,4.26,43,3.34,47,3.77,49,75,0.1,Modestas Bukauskas
bantamweight,0,KO/TKO,1,64,3,Jason Herzog,Brad Katona,16,5,0,167.64,61.23,162.56,Orthodox,1991-12-19,4.81,52,4.75,50,1.86,34,61,0,Bekzat Almakhan,12,2,0,170.18,61.23,172.72,Orthodox,1997-10-08,0.68,40,4.29,32,0,0,0,0,Bekzat Almakhan
featherweight,0,Decision - Unanimous,3,300,3,Marc Goddard,Daniel Santos,13,2,0,170.18,65.77,170.18,Orthodox,1995-03-12,4.74,40,4.96,51,3.03,39,73,0,JeongYeong Lee,11,3,0,177.8,65.77,185.42,Orthodox,1995-11-13,3.38,49,3.82,50,0.63,66,72,0.3,Daniel Santos
light heavyweight,0,Decision - Unanimous,3,300,3,Erick Philippeaux,Navajo Stirling,7,0,0,193.04,92.99,200.66,Orthodox,1997-11-07,6.43,52,2.49,61,1.2,30,78,0,Ivan Erslan,14,5,0,187.96,92.99,182.88,Orthodox,1991-11-15,2.5,44,5.17,55,0.5,20,64,0,Navajo Stirling
middleweight,0,Decision - Unanimous,3,300,3,Herb Dean,Zachary Reese,9,2,0,193.04,83.91,195.58,Switch,1994-03-24,4.28,54,2.99,43,2.88,58,57,1.2,Dusko Todorovic,12,6,0,185.42,83.91,187.96,Orthodox,1994-05-19,4.79,57,4.53,47,1.5,17,42,0.2,Zachary Reese
lightweight,0,Decision - Unanimous,3,300,3,Herb Dean,Mateusz Gamrot,25,3,0,177.8,70.31,177.8,Southpaw,1990-12-11,3.35,51,3.04,59,5.33,36,90,0.1,Ludovit Klein,23,5,1,170.18,70.31,182.88,Southpaw,1995-02-22,3.57,52,3.34,52,1.52,51,76,0,Mateusz Gamrot
light heavyweight,0,KO/TKO,1,110,3,Mike Beltran,Dustin Jacoby,21,9,1,190.5,92.99,193.04,Orthodox,1988-04-04,5.37,47,4.02,57,0.33,25,62,0,Bruno Lopes,14,2,0,187.96,92.99,187.96,Orthodox,1993-04-24,2.81,43,3.38,57,2.51,33,100,0,Dustin Jacoby
welterweight,0,Submission,1,196,3,Chris Tognoni,Billy Ray Goff,9,4,0,177.8,77.11,182.88,Switch,1998-06-18,7.51,46,5.02,59,1.75,16,66,0,Ramiz Brahimaj,12,5,0,177.8,77.11,182.88,Orthodox,1992-11-17,2.14,45,3.81,43,1.99,41,47,1.7,Ramiz Brahimaj
women's featherweight,0,Decision - Unanimous,3,300,3,Mark Smith,Ketlen Vieira,15,4,0,172.72,61.23,172.72,Orthodox,1991-08-26,2.84,41,3.72,51,1.28,43,90,0.5,Macy Chiasson,11,4,0,180.34,61.23,182.88,Orthodox,1991-07-27,3.49,46,2.68,45,2.08,35,71,0.4,Ketlen Vieira
lightweight,1,KO/TKO,1,147,5,Marc Goddard,Ilia Topuria,17,0,0,170.18,70.31,175.26,Orthodox,1997-01-21,4.81,48,3.83,64,1.96,61,93,1.1,Charles Oliveira,35,11,0,177.8,70.31,187.96,Orthodox,1989-10-17,3.41,55,3.26,48,2.23,39,56,2.6,Ilia Topuria
flyweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,Jafel Filho,16,4,0,170.18,56.7,172.72,Orthodox,1993-05-05,1.92,41,1.63,47,2.45,42,66,2.1,Allan Nascimento,21,6,0,172.72,56.7,175.26,Orthodox,1991-09-11,2.64,60,1.96,50,1.42,24,30,0.9,Allan Nascimento
lightweight,0,Decision - Unanimous,3,300,3,Herb Dean,Bolaji Oki,10,2,0,177.8,70.31,185.42,Orthodox,1995-11-15,7.05,45,4.76,62,1.24,75,85,0,Michael Aswell,10,3,0,172.72,70.31,175.26,Orthodox,2000-09-27,9.1,44,7.93,54,0,0,57,0,Bolaji Oki
lightweight,0,Submission,1,99,3,Mike Beltran,Kurt Holobaugh,22,10,0,180.34,70.31,177.8,Orthodox,1986-09-08,4.58,44,4.24,49,0.65,33,38,0.8,Jordan Leavitt,12,3,0,175.26,70.31,180.34,Southpaw,1995-06-02,2.49,61,1.79,57,2.92,30,30,1.3,Jordan Leavitt
flyweight,0,Decision - Unanimous,3,300,3,Jason Herzog,Brandon Royval,17,8,0,175.26,56.7,172.72,Southpaw,1992-08-16,5.55,41,4.23,43,0.67,75,45,1.1,Joshua Van,15,2,0,165.1,56.7,165.1,Orthodox,2001-10-10,8.86,56,6.36,57,0.85,63,81,0,Joshua Van
women's strawweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,Rayanne dos Santos,14,9,0,157.48,52.16,157.48,Orthodox,1995-06-08,4.57,40,6.47,59,0.5,14,80,0,Alice Ardelean,10,7,0,160.02,52.16,157.48,Orthodox,1992-04-19,6.73,44,5.04,57,1,50,87,0,Alice Ardelean
lightweight,0,Decision - Unanimous,3,300,3,Mark Smith,Beneil Dariush,23,6,1,177.8,70.31,182.88,Southpaw,1989-05-06,3.78,49,2.61,57,2.12,38,82,0.8,Renato Moicano,20,7,1,180.34,70.31,182.88,Orthodox,1989-05-21,4.17,48,3.57,59,1.67,41,62,0.5,Beneil Dariush
bantamweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,Payton Talbott,10,1,0,177.8,61.23,177.8,Switch,1998-09-09,6.05,54,3.26,46,0.24,25,76,0.2,Felipe Lima,14,2,0,167.64,61.23,172.72,Orthodox,1998-05-07,2.86,45,2.91,64,2.18,27,85,0.7,Payton Talbott
flyweight,1,Submission,3,115,5,Herb Dean,Alexandre Pantoja,30,5,0,165.1,56.7,170.18,Orthodox,1990-04-16,4.36,50,3.88,49,2.8,47,69,1,Kai Kara-France,25,12,0,162.56,56.7,175.26,Orthodox,1993-03-26,4.46,40,3.24,64,0.56,30,83,0,Alexandre Pantoja
middleweight,0,KO/TKO,1,261,3,Herb Dean,Jack Hermansson,24,9,0,185.42,83.91,195.58,Orthodox,1988-06-10,5.13,45,3.7,57,1.5,29,80,0.4,Gregory Rodrigues,17,6,0,190.5,83.91,190.5,Orthodox,1992-02-17,5.54,51,5.04,50,2.21,38,90,0.3,Gregory Rodrigues
featherweight,0,KO/TKO,1,26,3,Marc Goddard,Hyder Amil,11,1,0,175.26,65.77,177.8,Switch,1990-05-28,6.84,57,4.18,51,0.77,20,81,1.2,Jose Delgado,10,1,0,180.34,65.77,187.96,Switch,1998-04-21,7.13,49,3.67,55,4.58,60,71,0,Jose Delgado
women's flyweight,0,Decision - Unanimous,3,300,3,Jason Herzog,Viviane Araujo,13,7,0,162.56,56.7,172.72,Orthodox,1986-11-21,3.84,47,4.83,55,1.72,43,75,0.6,Tracy Cortez,12,2,0,165.1,56.7,165.1,Orthodox,1993-12-10,3.79,49,2.84,57,2.19,47,62,0.3,Tracy Cortez
lightweight,0,Submission,1,55,3,Chris Tognoni,Terrance McKinney,17,7,0,177.8,70.31,185.42,Switch,1994-09-15,5.78,56,2.58,47,3.59,40,77,2.2,Viacheslav Borshchev,8,6,1,180.34,70.31,175.26,Orthodox,1992-01-08,5.22,54,4.73,57,0,0,42,0.1,Terrance McKinney
heavyweight,0,Decision - Unanimous,3,300,3,Herb Dean,Jhonata Diniz,9,1,0,193.04,115.21,200.66,Orthodox,1991-06-23,4.58,56,3.71,59,0,0,78,0,Alvin Hines,7,1,0,187.96,120.2,187.96,Orthodox,1991-10-20,5.47,31,7.47,38,1,10,0,0,Jhonata Diniz
welterweight,0,Submission,2,243,3,Mark Smith,Niko Price,16,9,0,182.88,77.11,193.04,Orthodox,1989-09-29,5.13,43,5.55,48,0.98,28,50,0.6,Jacobe Smith,11,0,0,177.8,77.11,182.88,Southpaw,1996-01-17,6.21,66,2.86,47,7.42,90,100,0.8,Jacobe Smith
flyweight,0,Decision - Unanimous,5,300,5,Herb Dean,Brandon Moreno,23,8,2,170.18,56.7,177.8,Orthodox,1993-12-07,3.96,44,3.62,60,1.51,44,64,0.4,Steve Erceg,12,4,0,172.72,56.7,172.72,Orthodox,1995-07-27,4.45,46,4.03,52,0.84,26,63,0.3,Brandon Moreno
lightweight,0,KO/TKO,1,105,3,Mike Beltran,Manuel Torres,16,3,0,177.8,70.31,185.42,Switch,1995-03-25,7.87,60,4.2,52,2,66,88,1,Drew Dober,27,15,0,172.72,70.31,177.8,Southpaw,1988-10-19,4.36,40,4.33,51,0.66,17,56,0.1,Manuel Torres
flyweight,0,Submission,1,150,3,Marc Goddard,Edgar Chairez,12,6,0,170.18,56.7,180.34,Orthodox,1996-01-27,3.44,44,5.08,42,0,0,33,1.7,CJ Vergara,12,7,1,167.64,56.7,172.72,Orthodox,1991-06-18,5.02,56,4.69,53,0,0,60,0.2,Edgar Chairez
bantamweight,0,Decision - Unanimous,3,300,3,Mike Beltran,Raul Rosas Jr.,11,1,0,175.26,61.23,170.18,Switch,2004-10-08,1.51,44,1.37,50,4.01,41,0,1.1,Vince Morales,16,10,0,170.18,61.23,177.8,Orthodox,1990-11-12,3.57,37,4,53,0.59,40,58,0.5,Raul Rosas Jr.
bantamweight,0,KO/TKO,1,278,3,Marc Goddard,David Martinez,12,1,0,165.1,61.23,170.18,Orthodox,1998-08-03,5.4,52,2.7,67,0,0,100,0,Saimon Oliveira,18,6,0,162.56,61.23,182.88,Orthodox,1991-04-21,2.67,40,4.13,46,1.07,25,38,1.4,David Martinez
flyweight,0,Decision - Unanimous,3,300,3,Herb Dean,Ronaldo Rodriguez,17,3,0,167.64,56.7,165.1,Orthodox,1999-05-07,2.71,43,3.8,44,1.09,36,64,0.8,Kevin Borjas,10,3,0,165.1,56.7,172.72,Orthodox,1997-12-06,5.1,44,5.99,51,0,0,65,0,Kevin Borjas
featherweight,0,Decision - Unanimous,3,300,3,Fernando Salas Navarro,Christian Rodriguez,12,3,0,170.18,65.77,180.34,Orthodox,1997-12-17,3.63,50,2.66,54,1.84,46,69,1.2,Melquizael Costa,24,7,0,177.8,65.77,180.34,Southpaw,1996-09-14,4.44,49,3.09,54,1.96,38,58,1.2,Melquizael Costa
women's strawweight,0,Decision - Unanimous,3,300,3,Horacio Lopez Villanueva,Loopy Godinez,13,5,0,157.48,52.16,154.94,Orthodox,1993-09-06,4.28,48,3.87,61,3.12,47,81,0.9,Julia Polastri,13,5,0,157.48,52.16,160.02,Orthodox,1998-03-05,5.62,55,5.37,56,0.87,80,58,0.4,Loopy Godinez
middleweight,0,KO/TKO,1,212,3,Raul Porrata,Jose Daniel Medina,11,5,0,182.88,83.91,187.96,Orthodox,1991-05-17,2.18,36,5.25,47,0.45,33,31,0,Ateba Gautier,7,1,0,193.04,83.91,205.74,Switch,2002-04-10,6.06,64,2.23,51,0,0,90,0,Ateba Gautier
lightweight,0,Decision - Split,3,300,3,Horacio Lopez Villanueva,MarQuel Mederos,11,1,0,177.8,70.31,175.26,Orthodox,1996-11-30,4.84,56,2.99,58,0,0,83,0,Austin Hubbard,17,9,0,177.8,70.31,180.34,Orthodox,1991-12-22,3.87,43,3.82,56,1.59,31,68,0.1,MarQuel Mederos
featherweight,0,KO/TKO,1,246,3,Fernando Salas Navarro,Jamall Emmers,21,8,0,177.8,65.77,187.96,Orthodox,1989-07-24,5.45,49,4.07,56,1.74,40,80,0.2,Gabriel Miranda,17,8,0,180.34,65.77,180.34,Orthodox,1990-03-25,3.23,43,6.01,37,4.75,38,0,1.9,Jamall Emmers
featherweight,1,Decision - Unanimous,5,300,5,Marc Goddard,Alexander Volkanovski,27,4,0,167.64,65.77,180.34,Orthodox,1988-09-29,6.18,56,3.36,58,1.67,34,70,0.2,Diego Lopes,26,7,0,180.34,65.77,182.88,Orthodox,1994-12-30,3.7,47,4.76,46,0.35,40,67,1.9,Alexander Volkanovski
featherweight,0,Submission,2,232,3,Mike Beltran,Bryce Mitchell,17,4,0,177.8,61.23,177.8,Southpaw,1994-10-04,2.44,59,1.64,60,3.27,36,33,1.3,Jean Silva,16,2,0,170.18,65.77,175.26,Orthodox,1996-12-27,4.87,52,4.13,56,0.6,50,86,0.9,Jean Silva
lightweight,0,KO/TKO,3,187,5,Kerry Hatley,Michael Chandler,23,10,0,172.72,70.31,180.34,Orthodox,1986-04-24,4.04,49,4.52,43,1.96,41,61,0.6,Paddy Pimblett,23,3,0,177.8,70.31,185.42,Orthodox,1995-01-03,5.19,53,3.14,42,0.96,28,50,1.7,Paddy Pimblett
lightweight,0,Decision - Unanimous,3,300,3,Raul Porrata,Rafa Garcia,17,4,0,170.18,70.31,177.8,Orthodox,1994-08-05,4.01,43,4.47,60,3.21,43,77,0.2,Vinc Pichel,14,5,0,177.8,70.31,182.88,Orthodox,1982-11-23,3.78,46,3.17,54,2.5,51,31,0.2,Rafa Garcia
featherweight,0,Decision - Unanimous,3,300,3,Andrew Glenn,Yair Rodriguez,21,6,0,180.34,65.77,180.34,Orthodox,1992-10-06,4.65,46,3.78,52,0.71,29,59,0.6,Patricio Freire,36,8,0,167.64,65.77,170.18,Orthodox,1987-07-07,2.45,40,4.48,57,0.69,20,88,0.7,Yair Rodriguez
lightweight,0,Decision - Unanimous,3,300,3,Kerry Hatley,Jim Miller,38,19,0,172.72,70.31,180.34,Southpaw,1983-08-30,2.92,42,3.44,56,1.5,45,48,1.7,Chase Hooper,16,3,1,185.42,70.31,187.96,Southpaw,1999-09-13,4.53,51,2.96,38,2.59,34,55,2.2,Chase Hooper
light heavyweight,0,KO/TKO,1,144,3,Marc Goddard,Nikita Krylov,30,10,0,190.5,92.99,195.58,Orthodox,1992-03-07,4.33,54,2.49,44,2.24,38,53,1.4,Dominick Reyes,15,4,0,193.04,92.99,195.58,Southpaw,1989-12-26,5.58,54,3.54,50,0.31,28,82,0.3,Dominick Reyes
middleweight,0,KO/TKO,1,169,3,Marc Goddard,Sedriques Dumas,10,3,0,187.96,83.91,200.66,Orthodox,1995-08-06,2.1,45,2.5,55,1.25,35,40,0.2,Michal Oleksiejczuk,20,9,0,182.88,83.91,187.96,Southpaw,1995-02-22,5.27,51,4.51,59,1.05,43,48,0,Michal Oleksiejczuk
featherweight,0,KO/TKO,1,255,3,Mike Beltran,Darren Elkins,29,12,0,177.8,65.77,180.34,Orthodox,1984-05-16,3.4,38,3.34,51,2.87,34,56,1.1,Julian Erosa,31,13,0,185.42,65.77,187.96,Southpaw,1989-07-31,6.21,48,6.27,48,1.78,43,61,0.7,Julian Erosa
featherweight,0,KO/TKO,3,72,3,Andrew Glenn,Dan Ige,19,9,0,170.18,65.77,180.34,Orthodox,1991-08-06,3.67,45,3.55,56,0.94,25,58,0.2,Sean Woodson,13,2,1,187.96,65.77,198.12,Orthodox,1992-06-07,5.57,46,4.18,58,0.58,55,84,0.3,Dan Ige
women's strawweight,0,Decision - Unanimous,3,300,3,Mike Beltran,Yan Xiaonan,19,5,0,165.1,52.16,160.02,Orthodox,1989-06-16,4.69,45,3.23,60,0.84,73,64,0,Virna Jandiroba,22,3,0,160.02,52.16,162.56,Orthodox,1988-05-30,1.97,38,2.55,57,2.37,33,73,1.8,Virna Jandiroba
flyweight,0,Decision - Split,3,300,3,Andrew Glenn,Sumudaerji,17,7,0,172.72,56.7,182.88,Southpaw,1996-01-20,4.4,51,2.63,60,0.18,25,67,0.7,Mitch Raposo,9,3,0,165.1,56.7,162.56,Switch,1998-10-16,1.62,33,3.2,55,3.54,37,50,0,Sumudaerji
middleweight,0,KO/TKO,2,196,3,Marc Goddard,Tresean Gore,6,3,0,182.88,83.91,190.5,Switch,1994-06-21,2.77,46,8.16,39,2.62,75,83,1.3,Marco Tulio,14,1,0,182.88,83.91,187.96,Orthodox,1994-06-13,7.54,60,2.53,61,0.88,20,0,0.4,Marco Tulio
women's bantamweight,0,Submission,2,112,3,Kerry Hatley,Nora Cornolle,9,2,0,170.18,61.23,170.18,Orthodox,1989-12-06,3.07,54,1.91,62,0.33,11,50,0.3,Hailey Cowan,7,4,0,172.72,61.23,170.18,Southpaw,1992-02-12,2.5,42,2.79,33,1.63,36,80,0,Nora Cornolle
featherweight,0,Decision - Unanimous,3,300,3,Keith Peterson,Pat Sabatini,20,5,0,172.72,65.77,177.8,Orthodox,1990-11-09,1.87,62,1.22,49,3.98,48,50,1.8,Joanderson Brito,17,5,1,172.72,65.77,182.88,Orthodox,1995-02-11,2.48,50,2.49,42,2.49,68,56,1,Pat Sabatini
featherweight,0,Decision - Unanimous,5,300,5,Jason Herzog,Josh Emmett,19,5,0,167.64,65.77,177.8,Orthodox,1985-03-04,3.75,35,4.46,60,1.09,37,46,0.1,Lerone Murphy,16,0,1,175.26,65.77,185.42,Orthodox,1991-07-22,4.53,54,2.48,61,1.45,54,52,0.5,Lerone Murphy
bantamweight,0,KO/TKO,2,228,3,Chris Tognoni,Cortavious Romious,9,4,0,162.56,61.23,172.72,Southpaw,1994-01-06,1.91,38,3.46,39,2.29,66,64,0.8,ChangHo Lee,11,1,0,172.72,61.23,175.26,Orthodox,1994-05-09,4.92,67,2.35,39,3.27,33,37,0.4,ChangHo Lee
flyweight,0,KO/TKO,2,114,3,Jason Herzog,Ode Osbourne,13,8,0,170.18,56.7,185.42,Southpaw,1992-01-09,3.2,40,3.82,46,1.11,28,65,0.6,Luis Gurule,10,1,0,165.1,56.7,162.56,Orthodox,1993-11-16,5.34,48,3.74,58,0.68,16,50,0,Ode Osbourne
middleweight,0,Decision - Unanimous,3,300,3,Mike Beltran,Brad Tavares,21,11,0,185.42,83.91,187.96,Orthodox,1987-12-21,3.42,43,3.28,55,0.71,26,81,0,Gerald Meerschaert,37,19,0,185.42,83.91,195.58,Southpaw,1987-12-18,3.05,45,3.43,53,1.86,31,42,1.4,Brad Tavares
middleweight,0,Decision - Split,3,300,3,Mike Beltran,Torrez Finney,11,0,0,172.72,83.91,190.5,Orthodox,1998-10-24,1.77,68,1.74,48,9.31,60,0,1.1,Robert Valentin,11,5,0,187.96,83.91,195.58,Orthodox,1995-03-31,1.1,58,2.11,23,0,0,55,1.4,Torrez Finney
women's flyweight,0,Submission,1,253,3,Keith Peterson,Diana Belbita,15,10,0,170.18,56.7,172.72,Orthodox,1996-06-26,6.45,41,6.55,51,0.86,62,64,0,Dione Barbosa,8,3,0,167.64,56.7,167.64,Orthodox,1992-05-08,2.35,50,2.73,67,1.93,33,42,2.3,Dione Barbosa
welterweight,0,TKO - Doctor's Stoppage,1,300,3,Jason Herzog,Rhys McKee,14,6,1,187.96,77.11,198.12,Orthodox,1995-09-10,5.16,44,7.92,46,0,0,41,0,Daniel Frunza,9,3,0,185.42,77.11,185.42,Orthodox,1994-04-13,6.3,40,6.67,56,0,0,60,0,Rhys McKee
heavyweight,0,Decision - Unanimous,3,300,3,Mike Beltran,Martin Buday,15,2,0,193.04,120.2,195.58,Orthodox,1991-11-11,4.67,53,5,55,0.17,20,100,0.2,Uran Satybaldiev,9,1,0,193.04,92.99,200.66,Orthodox,1994-08-10,2.4,25,3.87,45,0,0,100,0,Martin Buday
women's strawweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,Loma Lookboonmee,10,3,0,154.94,52.16,154.94,Orthodox,1996-01-18,3.87,56,2.47,52,2.03,51,73,0.1,Istela Nunes,6,6,0,162.56,52.16,167.64,Orthodox,1992-07-23,4.28,47,4.07,59,0,0,47,0,Loma Lookboonmee
lightweight,0,Decision - Unanimous,3,300,3,Kerry Hatley,Alexander Hernandez,16,8,0,175.26,70.31,182.88,Orthodox,1992-10-01,4.38,40,4.62,57,1.24,36,71,0.1,Kurt Holobaugh,22,10,0,180.34,70.31,177.8,Orthodox,1986-09-08,4.58,44,4.24,49,0.65,33,38,0.8,Alexander Hernandez
women's strawweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,Vanessa Demopoulos,11,8,0,157.48,56.7,149.86,Orthodox,1988-09-22,3.37,39,5.39,41,0.32,9,26,0.4,Talita Alencar,6,1,1,154.94,52.16,147.32,Orthodox,1990-10-17,2.62,33,3.77,53,2.5,20,50,0.2,Talita Alencar
light heavyweight,0,Submission,2,88,3,Herb Dean,Diyar Nurgozhay,10,1,0,187.96,92.99,187.96,Southpaw,1997-04-22,3.13,48,3.4,59,2,100,100,0,Brendson Ribeiro,17,8,0,190.5,92.99,205.74,Orthodox,1996-09-08,3.26,42,4.04,52,0.99,42,0,0.7,Brendson Ribeiro
bantamweight,0,Decision - Unanimous,3,300,3,Keith Peterson,Victor Henry,25,7,0,170.18,61.23,172.72,Switch,1987-05-04,7.17,53,5.19,48,1.04,42,81,0.3,Pedro Falcao,16,5,0,167.64,61.23,167.64,Orthodox,1992-07-30,3.21,48,3.39,50,2.73,25,66,0,Victor Henry
welterweight,0,KO/TKO,2,139,3,Mark Smith,Chidi Njokuani,25,11,0,190.5,77.11,203.2,Orthodox,1988-12-31,4.72,62,2.64,57,0,0,73,0.2,Elizeu Zaleski dos Santos,25,9,1,180.34,77.11,185.42,Orthodox,1986-12-11,4.26,41,3.52,56,0.75,20,68,0.5,Chidi Njokuani
middleweight,0,Decision - Unanimous,5,300,5,Herb Dean,Marvin Vettori,19,8,1,182.88,83.91,187.96,Southpaw,1993-09-20,4.54,46,4.37,56,1.51,45,69,0.4,Roman Dolidze,15,3,0,187.96,83.91,193.04,Orthodox,1988-07-15,3.58,42,3.56,49,1.11,40,33,0.9,Roman Dolidze
featherweight,0,KO/TKO,1,189,3,Kerry Hatley,SeungWoo Choi,11,8,0,182.88,65.77,187.96,Orthodox,1992-11-03,3.56,38,3.16,47,0.83,54,70,0,Kevin Vallejos,15,1,0,170.18,65.77,172.72,Switch,2001-12-08,6.48,51,5.7,57,0,0,66,0,Kevin Vallejos
bantamweight,0,Submission,2,249,3,Chris Tognoni,Da'Mon Blackshear,17,7,1,177.8,61.23,182.88,Switch,1994-08-12,4.7,46,4.15,52,1.56,36,71,1.6,Cody Gibson,22,11,0,177.8,61.23,180.34,Orthodox,1987-09-11,3.61,45,3.18,57,2.13,37,69,0.6,Da'Mon Blackshear
heavyweight,0,KO/TKO,2,288,3,Mark Smith,Waldo Cortes-Acosta,14,1,0,193.04,117.93,198.12,Orthodox,1991-10-03,5.98,48,3.43,55,0.42,50,66,0.1,Ryan Spann,22,11,0,195.58,92.99,200.66,Orthodox,1991-08-24,3.2,39,4.21,43,1.17,31,52,1.5,Waldo Cortes-Acosta
bantamweight,0,Decision - Unanimous,3,300,3,Chris Tognoni,SuYoung You,15,3,0,167.64,61.23,165.1,Orthodox,1995-12-11,1.88,44,1.32,71,4.75,55,66,0.5,AJ Cunningham,11,5,0,177.8,61.23,180.34,Orthodox,1994-09-07,4.22,29,6.31,48,0,0,46,0.5,SuYoung You
